Run,bases,avgLength,size_MB,LibraryStrategy,Platform,Model
SRR10245330,265408834,600,173,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245319,121674305,600,64,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245308,90065277,600,48,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245297,245407364,595,134,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245286,240451037,600,156,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245278,260559853,600,174,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245277,189472596,600,123,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245336,186634887,601,101,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245335,135470157,601,75,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245334,144602211,600,75,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245333,168525082,601,81,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245332,103336374,600,58,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245331,169298009,601,96,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245329,173615294,600,113,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245328,38333428,600,24,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245327,247776437,600,162,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245326,204401711,600,133,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245325,202819933,600,133,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245324,175572215,600,115,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245323,27688395,600,14,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245322,110290914,600,61,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245321,169655534,600,99,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245320,142037064,600,72,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245318,31642765,600,21,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245317,187667769,600,121,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245316,162319872,600,105,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245315,188138265,600,122,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245314,45326993,600,28,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245313,125197617,599,82,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245312,157162277,600,81,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245311,224665559,586,130,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245310,106719398,599,53,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245309,131479699,599,71,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245307,156614392,600,103,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245306,195305284,598,129,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245305,189897067,600,106,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245304,195023816,600,107,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245303,434919320,599,237,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245302,115896404,600,63,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245301,127499705,600,65,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245300,111840086,600,62,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245299,134554045,600,70,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245298,184179160,601,89,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245296,239466402,601,133,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245295,141324954,600,81,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245294,382616209,600,205,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245293,274398756,599,152,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245292,109734329,598,55,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245291,162402714,599,93,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245290,255927054,600,167,AMPLICON,ILLUMINA,Illumina MiSeq
