PRJNA477349,PRJNA685168,PRJEB21612,PRJNA802976
Run,Run,Run,Run
ReleaseDate,ReleaseDate,ReleaseDate,ReleaseDate
LoadDate,LoadDate,LoadDate,LoadDate
spots,spots,spots,spots
bases,bases,bases,bases
spots_with_mates,spots_with_mates,spots_with_mates,spots_with_mates
avgLength,avgLength,avgLength,avgLength
size_MB,size_MB,size_MB,size_MB
AssemblyName,AssemblyName,AssemblyName,AssemblyName
download_path,download_path,download_path,download_path
Experiment,Experiment,Experiment,Experiment
LibraryName,LibraryName,LibraryName,LibraryName
LibraryStrategy,LibraryStrategy,LibraryStrategy,LibraryStrategy
LibrarySelection,LibrarySelection,LibrarySelection,LibrarySelection
LibrarySource,LibrarySource,LibrarySource,LibrarySource
LibraryLayout,LibraryLayout,LibraryLayout,LibraryLayout
InsertSize,InsertSize,InsertSize,InsertSize
InsertDev,InsertDev,InsertDev,InsertDev
Platform,Platform,Platform,Platform
Model,Model,Model,Model
SRAStudy,SRAStudy,SRAStudy,SRAStudy
BioProject,BioProject,BioProject,BioProject
Study_Pubmed_id,Study_Pubmed_id,Study_Pubmed_id,Study_Pubmed_id
ProjectID,ProjectID,ProjectID,ProjectID
Sample,Sample,Sample,Sample
BioSample,BioSample,BioSample,BioSample
SampleType,SampleType,SampleType,SampleType
TaxID,TaxID,TaxID,TaxID
ScientificName,ScientificName,ScientificName,ScientificName
SampleName,SampleName,SampleName,SampleName
g1k_pop_code,g1k_pop_code,g1k_pop_code,g1k_pop_code
source,source,source,source
g1k_analysis_group,g1k_analysis_group,g1k_analysis_group,g1k_analysis_group
Subject_ID,Subject_ID,Subject_ID,Subject_ID
Sex,Sex,Sex,Sex
Disease,Disease,Disease,Disease
Tumor,Tumor,Tumor,Tumor
Affection_Status,Affection_Status,Affection_Status,Affection_Status
Analyte_Type,Analyte_Type,Analyte_Type,Analyte_Type
Histological_Type,Histological_Type,Histological_Type,Histological_Type
Body_Site,Body_Site,Body_Site,Body_Site
CenterName,CenterName,CenterName,CenterName
Submission,Submission,Submission,Submission
dbgap_study_accession,dbgap_study_accession,dbgap_study_accession,dbgap_study_accession
Consent,Consent,Consent,Consent
RunHash,RunHash,RunHash,RunHash
ReadHash,ReadHash,ReadHash,ReadHash
